Ranking,GPO,Nombre,DEL,MED,DEF,GLB,Puntos,Multiplicador,GLB*BUFF
51,A,Qatar,75,70,68,71,1441,1.441,102
46,A,Ecuador,74,72,75,73,1452,1.452,105
20,A,Senegal,77,72,76,75,1584,1.584,118
10,A,Holanda,81,83,83,82,1658,1.658,135
5,B,Inglaterra,85,83,81,83,1761,1.761,146
21,B,RI Irán,76,71,71,73,1564,1.564,114
15,B,Estados Unidos,75,74,72,74,1633,1.633,120
18,B,Gales,77,74,72,74,1588,1.588,117
4,C,Argentina,86,82,80,83,1765,1.765,146
49,C,Arabia Saudí,73,72,73,73,1446,1.446,105
9,C,México,78,76,75,76,1658,1.658,126
26,C,Polonia,82,74,74,77,1544,1.544,118
3,D,Francia,87,85,82,85,1789,1.789,152
22,D,Peru,71,73,71,72,1562,1.562,112
11,D,Dinamarca,76,82,78,78,1653,1.653,128
35,D,Tunez,75,71,71,72,1499,1.499,107
7,E,España,82,83,82,84,1709,1.709,143
31,E,Costa Rica,69,73,73,72,1503,1.503,108
12,E,Alemania,84,85,84,84,1650,1.650,138
23,E,Japon,76,77,74,76,1553,1.553,118
2,F,Bélgica,85,83,80,83,1827,1.827,151
38,F,Canadá,73,74,69,73,1479,1.479,107
24,F,Marruecos,74,77,77,76,1551,1.551,117
16,F,Croacia,80,82,78,80,1621,1.621,129
1,G,Brasil,81,80,80,80,1832,1.832,146
45,G,Serbia,75,79,76,77,1547,1.547,119
14,G,Suiza,75,78,77,78,1635,1.653,128
37,G,Camerún,72,71,70,70,1480,1.480,103
8,H,Portugal,85,82,82,83,1674,1.674,138
60,H,Ghana,73,67,68,69,1387,1.387,95
13,H,Uruguay,79,79,78,79,1653,1.653,130
29,H,Corea del sur,74,74,70,73,1519,1.519,110
